epoch,channel,band,power,relative_power,total_power
1,EEG Fpz-Cz,delta,523.3719153554063,0.8031038558568059,645.7173415965079
1,EEG Fpz-Cz,theta,94.25167386444129,0.14462732997449715,645.7173415965079
1,EEG Fpz-Cz,alpha,8.196236210789756,0.012576962407179412,645.7173415965079
1,EEG Fpz-Cz,sigma,3.077882155096198,0.004722949310247276,645.7173415965079
1,EEG Fpz-Cz,beta,8.23946172904469,0.012643291110274556,645.7173415965079
1,EEG Fpz-Cz,gamma,8.580172281729748,0.013166104716745324,645.7173415965079
2,EEG Fpz-Cz,delta,343.99929315907843,0.752865447479797,453.73277530613007
2,EEG Fpz-Cz,theta,43.272175219983424,0.09470404796835333,453.73277530613007
2,EEG Fpz-Cz,alpha,11.558369881452586,0.025296265097012043,453.73277530613007
2,EEG Fpz-Cz,sigma,7.771541165529741,0.01700853732419886,453.73277530613007
2,EEG Fpz-Cz,beta,23.98852956565691,0.0525005004515487,453.73277530613007
2,EEG Fpz-Cz,gamma,23.142866314429007,0.05064970989844574,453.73277530613007
3,EEG Fpz-Cz,delta,402.44328464284513,0.8448084623146748,474.0502883025747
3,EEG Fpz-Cz,theta,22.169007472685816,0.04653715400087546,474.0502883025747
3,EEG Fpz-Cz,alpha,12.309047629291912,0.02583913807752754,474.0502883025747
3,EEG Fpz-Cz,sigma,4.741230748392362,0.009952785922575631,474.0502883025747
3,EEG Fpz-Cz,beta,13.118551713493169,0.027538448083951002,474.0502883025747
3,EEG Fpz-Cz,gamma,19.269166095866325,0.040449810447158396,474.0502883025747
4,EEG Fpz-Cz,delta,177.4276533829431,0.7895742103896117,222.93004224782925
4,EEG Fpz-Cz,theta,19.636852177299083,0.08738633328461183,222.93004224782925
4,EEG Fpz-Cz,alpha,12.791730155870836,0.05692472421725473,222.93004224782925
4,EEG Fpz-Cz,sigma,2.2274257501526975,0.009912310140756097,222.93004224782925
4,EEG Fpz-Cz,beta,5.724155846214745,0.02547317594663392,222.93004224782925
4,EEG Fpz-Cz,gamma,5.122224935348778,0.0227945116313802,222.93004224782925
5,EEG Fpz-Cz,delta,175.58401448700138,0.7307167789159522,237.38487099002853
5,EEG Fpz-Cz,theta,39.24938096391754,0.16334164198371331,237.38487099002853
5,EEG Fpz-Cz,alpha,10.826017991825967,0.045053947642020996,237.38487099002853
5,EEG Fpz-Cz,sigma,1.9852368028508656,0.00826183320960565,237.38487099002853
5,EEG Fpz-Cz,beta,4.950856158773659,0.02060366187539875,237.38487099002853
5,EEG Fpz-Cz,gamma,4.7893645856591025,0.01993159270968848,237.38487099002853
6,EEG Fpz-Cz,delta,396.8093990677475,0.7132481126516393,547.7957823768184
6,EEG Fpz-Cz,theta,125.61762548667804,0.2257923690936986,547.7957823768184
6,EEG Fpz-Cz,alpha,9.238809982655106,0.016606370208864026,547.7957823768184
6,EEG Fpz-Cz,sigma,3.3493811044777884,0.006020370880660467,547.7957823768184
6,EEG Fpz-Cz,beta,6.699806930282998,0.012042619603722805,547.7957823768184
6,EEG Fpz-Cz,gamma,6.080759804976957,0.010929908577209107,547.7957823768184
7,EEG Fpz-Cz,delta,505.49768743744147,0.7473061309320357,669.5170246448233
7,EEG Fpz-Cz,theta,70.29331181045747,0.10391862155842826,669.5170246448233
7,EEG Fpz-Cz,alpha,11.97183964496417,0.01769865498410244,669.5170246448233
7,EEG Fpz-Cz,sigma,9.831147257150777,0.014533947042583976,669.5170246448233
7,EEG Fpz-Cz,beta,33.85175595954448,0.05004498615933511,669.5170246448233
7,EEG Fpz-Cz,gamma,38.07128253526507,0.056282953528981876,669.5170246448233
8,EEG Fpz-Cz,delta,576.2413375690701,0.8818247392904978,649.3925650776516
8,EEG Fpz-Cz,theta,51.48462750365515,0.07878715959081511,649.3925650776516
8,EEG Fpz-Cz,alpha,5.600083873352277,0.008569833817296861,649.3925650776516
8,EEG Fpz-Cz,sigma,2.39857072349432,0.003670543685460043,649.3925650776516
8,EEG Fpz-Cz,beta,7.008412461480201,0.010725005459963684,649.3925650776516
8,EEG Fpz-Cz,gamma,6.659532946599448,0.0101911135518417,649.3925650776516
9,EEG Fpz-Cz,delta,275.0906023103808,0.7333192239798536,368.46660797415984
9,EEG Fpz-Cz,theta,66.53331136409965,0.17736031637781027,368.46660797415984
9,EEG Fpz-Cz,alpha,8.152891746861483,0.021733465988251262,368.46660797415984
9,EEG Fpz-Cz,sigma,2.9921049457281392,0.007976165155914677,368.46660797415984
9,EEG Fpz-Cz,beta,7.8245876983537785,0.020858293706613386,368.46660797415984
9,EEG Fpz-Cz,gamma,7.873109908735991,0.020987641162922066,368.46660797415984
10,EEG Fpz-Cz,delta,389.1662833628858,0.8103440881956645,477.16442554913453
10,EEG Fpz-Cz,theta,40.11949366547752,0.08353908317105666,477.16442554913453
10,EEG Fpz-Cz,alpha,7.646820105113597,0.015922642147023956,477.16442554913453
10,EEG Fpz-Cz,sigma,4.702541679251756,0.009791898764575225,477.16442554913453
10,EEG Fpz-Cz,beta,16.802050198615483,0.034986181049294185,477.16442554913453
10,EEG Fpz-Cz,gamma,18.727236537790446,0.03899491313971214,477.16442554913453
11,EEG Fpz-Cz,delta,469.3723904864913,0.8744795766607298,533.675002726849
11,EEG Fpz-Cz,theta,36.03388298300966,0.0671341036991213,533.675002726849
11,EEG Fpz-Cz,alpha,7.82309486184874,0.014575072632362485,533.675002726849
11,EEG Fpz-Cz,sigma,3.2306617228552614,0.006018989938475731,533.675002726849
11,EEG Fpz-Cz,beta,8.752558564630931,0.016306740369546692,533.675002726849
11,EEG Fpz-Cz,gamma,8.462414108012995,0.015766177254339316,533.675002726849
12,EEG Fpz-Cz,delta,538.9751940766633,0.8518775114889444,628.3800229045806
12,EEG Fpz-Cz,theta,50.24182091777478,0.0794097350796062,628.3800229045806
12,EEG Fpz-Cz,alpha,8.150477143721343,0.012882240709677747,628.3800229045806
12,EEG Fpz-Cz,sigma,4.328257242979685,0.006841029141517554,628.3800229045806
12,EEG Fpz-Cz,beta,12.920488630211626,0.02042148474083633,628.3800229045806
12,EEG Fpz-Cz,gamma,13.763784893229882,0.021754357069438776,628.3800229045806
13,EEG Fpz-Cz,delta,559.4005451306197,0.8405489352730131,660.0807154977847
13,EEG Fpz-Cz,theta,65.41876033317234,0.09829748973892911,660.0807154977847
13,EEG Fpz-Cz,alpha,9.221874656576805,0.013856684608694582,660.0807154977847
13,EEG Fpz-Cz,sigma,3.919334968286378,0.0058891484165467965,660.0807154977847
13,EEG Fpz-Cz,beta,10.368168309372221,0.015579092492910033,660.0807154977847
13,EEG Fpz-Cz,gamma,11.752032099757281,0.017658470580214955,660.0807154977847
14,EEG Fpz-Cz,delta,283.8003462120671,0.7816355722994434,359.8661695799728
14,EEG Fpz-Cz,theta,46.8510248085124,0.1290358806033758,359.8661695799728
14,EEG Fpz-Cz,alpha,6.213798065231099,0.017113881895129166,359.8661695799728
14,EEG Fpz-Cz,sigma,4.042240666764002,0.011133034681279824,359.8661695799728
14,EEG Fpz-Cz,beta,8.407572502809,0.02315591870339569,359.8661695799728
14,EEG Fpz-Cz,gamma,10.551187324589172,0.02905980719534169,359.8661695799728
15,EEG Fpz-Cz,delta,168.20758460570792,0.8339536121912192,200.07977887478532
15,EEG Fpz-Cz,theta,17.371985489975096,0.08612828062573918,200.07977887478532
15,EEG Fpz-Cz,alpha,2.821653627642047,0.013989430028618889,200.07977887478532
15,EEG Fpz-Cz,sigma,1.9044598390511855,0.00944209005659754,200.07977887478532
15,EEG Fpz-Cz,beta,4.823018139148689,0.02391196216410288,200.07977887478532
15,EEG Fpz-Cz,gamma,4.951077173260396,0.02454686393932017,200.07977887478532
16,EEG Fpz-Cz,delta,285.5966235047894,0.80423993921928,353.3410913605274
16,EEG Fpz-Cz,theta,32.287904542343504,0.09092272194253301,353.3410913605274
16,EEG Fpz-Cz,alpha,8.081782393386531,0.02275829490236124,353.3410913605274
16,EEG Fpz-Cz,sigma,3.719678200876963,0.010474611826558945,353.3410913605274
16,EEG Fpz-Cz,beta,10.680129010620563,0.030075237588414655,353.3410913605274
16,EEG Fpz-Cz,gamma,12.974973708510445,0.03653751903173044,353.3410913605274
17,EEG Fpz-Cz,delta,171.22686615149317,0.7452241745266391,227.50662664377367
17,EEG Fpz-Cz,theta,27.796462424117774,0.12097748577870161,227.50662664377367
17,EEG Fpz-Cz,alpha,5.948492312257608,0.025889396755986692,227.50662664377367
17,EEG Fpz-Cz,sigma,3.8548241504582164,0.016777204477531844,227.50662664377367
17,EEG Fpz-Cz,beta,8.668348539450589,0.03772692352557508,227.50662664377367
17,EEG Fpz-Cz,gamma,10.011633065996305,0.04357324965972134,227.50662664377367
18,EEG Fpz-Cz,delta,395.82890346510266,0.8142513771950505,481.97535295548363
18,EEG Fpz-Cz,theta,47.72273406714608,0.0981694403756766,481.97535295548363
18,EEG Fpz-Cz,alpha,9.923384471564349,0.020413187116133914,481.97535295548363
18,EEG Fpz-Cz,sigma,4.568163020471137,0.009397072821383943,481.97535295548363
18,EEG Fpz-Cz,beta,12.111893871762435,0.024915124133658234,481.97535295548363
18,EEG Fpz-Cz,gamma,11.820274059436944,0.024315239103220258,481.97535295548363
19,EEG Fpz-Cz,delta,319.07961775229137,0.8228988670722792,384.67684749141546
19,EEG Fpz-Cz,theta,37.04766069280348,0.0955450499362624,384.67684749141546
19,EEG Fpz-Cz,alpha,6.987408007580745,0.018020361732016887,384.67684749141546
19,EEG Fpz-Cz,sigma,3.570291140314265,0.009207697298809074,384.67684749141546
19,EEG Fpz-Cz,beta,7.614536228772059,0.019637710738395656,384.67684749141546
19,EEG Fpz-Cz,gamma,10.377333669653456,0.026762900683359375,384.67684749141546
20,EEG Fpz-Cz,delta,167.45110706520234,0.7242047012829947,229.68110632604711
20,EEG Fpz-Cz,theta,23.61652770716016,0.10213847309379581,229.68110632604711
20,EEG Fpz-Cz,alpha,5.650910946097703,0.02443946979760475,229.68110632604711
20,EEG Fpz-Cz,sigma,3.709676842572479,0.016043879653692267,229.68110632604711
20,EEG Fpz-Cz,beta,14.099724471070282,0.06097951173752454,229.68110632604711
20,EEG Fpz-Cz,gamma,15.153159293944139,0.06553548311682038,229.68110632604711
21,EEG Fpz-Cz,delta,194.7721824483802,0.8390292261411749,230.36375585193377
21,EEG Fpz-Cz,theta,14.936340175710958,0.0643419700979601,230.36375585193377
21,EEG Fpz-Cz,alpha,4.043385089085917,0.017417878773246433,230.36375585193377
21,EEG Fpz-Cz,sigma,2.2798218925942546,0.009820895233794586,230.36375585193377
21,EEG Fpz-Cz,beta,6.89345844099178,0.029695272848906686,230.36375585193377
21,EEG Fpz-Cz,gamma,7.438567805170675,0.032043465913440115,230.36375585193377
22,EEG Fpz-Cz,delta,98.69227034746665,0.7420991342797871,131.84211590180655
22,EEG Fpz-Cz,theta,16.292429770587855,0.12250805443526645,131.84211590180655
22,EEG Fpz-Cz,alpha,4.053716672487506,0.030481208129849627,131.84211590180655
22,EEG Fpz-Cz,sigma,2.167583904740962,0.01629876517708825,131.84211590180655
22,EEG Fpz-Cz,beta,5.079427791528552,0.03819386212779315,131.84211590180655
